ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	subunits(Gene name)	SWISSPROT organism	Subunits comment	Complex comment	subunits(Gene name syn)	Disease comment	PubMed ID
6233	Ubiquitin E3 ligase (CUL3, KLHL3, WNK1)	Human	CUL3-KLHL3-WNK1 E3 ligase complex	HeLa cells	Q13618;Q9H4A3;Q9UH77	8452;65125;26249	MI:0019-coimmunoprecipitation	GO:0006511;GO:0031461	ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	Cullin-3;Serine/threonine-protein kinase WNK1;Kelch-like protein 3	CUL3;WNK1;KLHL3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CUL3 assembles with BTB proteins (e.g. KLHL3) to form Cullin-RING E3 ubiquitin ligase complexes. The CUL3-KLHL3 E3 ligase complex regulates blood pressure via its ability to interact with and ubiquitylate WNK isoforms. The recombinant wild-type CUL3-KLHL3 E3 ligase complex, but not a disease-causing CUL3-KLHL3[R528H] mutant complex, ubiquitylated WNK1 in vitro. siRNA (small interfering RNA)-mediated knockdown of CUL3 increased WNK1 protein levels and kinase activity in HeLa cells. The KLHL3 interaction site in WNK1 could be mapped to a non-catalytic region (residues 479-667).	KIAA0617;HSN2, KDP, KIAA0344, PRKWNK1;KIAA1129	The CUL3-KLHL3 E3 ligase complex is mutated in Gordon hypertension syndrome (= Pseudohypoaldosteronismtype II = PHAII).	23387299
6234	TGF-betaR2-TGF-beta3 complex	Human	None	None	P10600;P37173	7043;7048	MI:0114- x-ray crystallography	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	30.05.01.18	transmembrane receptor protein serine/threonine kinase signalling pathways	Transforming growth factor beta-3;TGF-beta receptor type-2	TGFB3;TGFBR2	Homo sapiens (Human);Homo sapiens (Human)	None	None	None;None	None	11850637
6235	c-Fos-c-Jun-SAF-1 complex	Human	None	HTB-94 cells	P01100;P05412;P56270	2353;3725;4150	MI:0019- coimmunoprecipitation	GO:0006355;GO:0003677	regulation of transcription, DNA-templated;DNA binding	11.02.03.04;16.03.01	transcriptional control;DNA binding	Proto-oncogene c-Fos ;Transcription factor AP-1;Myc-associated zinc finger protein	FOS;JUN;MAZ	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	G0S7;None;ZNF801	None	19028685
6236	Dynein-2 complex, cytoplasmic	Human	None	None	P51808;P63167;P63172;Q8IVD9;Q8NCM8;Q8TCX1;Q8TF09;Q8WVS4;Q8WW35;Q96EX3;Q96FJ2;Q9NP97	6990;8655;6993;23386;79659;51626;83657;55112;255758;89891;140735;83658	MI:0019- coimmunoprecipitation	GO:0035721;GO:0005929;GO:0007224	intraciliary retrograde transport;cilium;smoothened signaling pathway	30.05.02.16	hedgehog-dependent signalling pathway	Dynein light chain Tctex-type 3 ;Dynein light chain 1, cytoplasmic;Dynein light chain Tctex-type 1 ;NudC domain-containing protein 3;Cytoplasmic dynein 2 heavy chain 1 ;Cytoplasmic dynein 2 light intermediate chain 1 ;Dynein light chain roadblock-type 2 ;WD repeat-containing protein 60;Tctex1 domain-containing protein 2;WD repeat-containing protein 34;Dynein light chain 2, cytoplasmic;Dynein light chain roadblock-type 1	DYNLT3;DYNLL1;DYNLT1;NUDCD3;DYNC2H1;DYNC2LI1;DYNLRB2;WDR60;TCTEX1D2;WDR34;DYNLL2;DYNLRB1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	TCTE1L TCTE1XL;DLC1 DNCL1 DNCLC1 HDLC1;TCTEL1 TCTEX-1 TCTEX1;KIAA1068;DHC1B DHC2 DNCH2 DYH1B KIAA1997;D2LIC LIC3;DNCL2B DNLC2B ROBLD2;;;;DLC2;BITH DNCL2A DNLC2A ROBLD1	Defects in the function of primary cilia lead to a cohort of human diseases known as the ciliopathies; among these, mutations in components of the dynein-2 complex cause Jeune syndrome, short rib polydactyly type III and asphyxiating thoracic dystrophy.	25205765
6237	AJUBA-GFI1-HDAC1 complex	Human	None	Jurkat T cell nuclear extracts	Q13547;Q96IF1;Q99684	3065;84962;2672	MI:0019-coimmunoprecipitation;MI:0071-molecular sieving	GO:0045892	negative regulation of transcription, DNA-templated	11.02.03.04.03	transcription repression	Histone deacetylase 1;LIM domain-containing protein ajuba;Zinc finger protein Gfi-1	HDAC1;AJUBA;GFI1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The majority of Gfi1 repression activity is dependent upon HDAC function. However, a residual repression activity is present in inhibitor-treated samples suggesting Gfi1 and Ajuba utilize as yet unidentified non-HDAC-dependent repression mechanism(s).	RPD3L1;JUB;ZNF163	It has been demonstrated that SCN (severe congenital neutropenia)-associated mutations in GFI1 generate dominant-negative-acting proteins (GFI1N382S), which selectively deprepress GFI1 target genes such as CSF1. A SNAG domain mutant protein (Gfi1P2A) also functioned in a dominant negative manner;however, a protein with both mutations (Gfi1P2A\u0002N382S) lacked dominant negative activity.	18805794
6238	DHDDS-NUS1 complex	Human	None	HeLa cells	Q86SQ9;Q96E22	79947;116150	MI:0019-coimmunoprecipitation	GO:0043048;GO:0006486;GO:0005783;GO:0042632	dolichyl monophosphate biosynthetic process;protein glycosylation;endoplasmic reticulum;cholesterol homeostasis	14.07.02;70.07;34.01.07	modification with sugar residues (e.g. glycosylation, deglycosylation);endoplasmic reticulum;cholesterol homeostasis	Dehydrodolichyl diphosphate synthase complex subunit DHDDS;Dehydrodolichyl diphosphate synthase complex subunit NUS1	DHDDS;NUS1	Homo sapiens (Human);Homo sapiens (Human)	None	Dolichol monophosphate (Dol-P) functions as an obligate glycosyl carrier lipid in protein glycosylation reactions. Nogo-B receptor (NUS1)as an essential component of the Dol-P biosynthetic machinery.	HDS;C6orf68 NGBR	A Mutation on NgBR Causes Congenital Scoliosis, Severe Neurological Impairment, Refractory Epilepsy, Hearing Deficit, and Visual Impairment.	21572394
6239	Fras1-Frem1-Frem2 complex	Mouse	None	HEK-293F cells	Q5H8C1;Q5SZK8;Q80T14	158326;341640;231470	MI:0019- coimmunoprecipitation	GO:0007160	cell-matrix adhesion	34.07.02	cell-matrix adhesion	FRAS1-related extracellular matrix protein 1 ;FRAS1-related extracellular matrix protein 2 ;Extracellular matrix protein FRAS1	FREM1;FREM2;Fras1	Homo sapiens (Human);Homo sapiens (Human);Mus musculus (Mouse)	Disease:Fraser syndrome-like phenotype	None	C9orf143 C9orf145 C9orf154;;Kiaa1500	None	16880404
6240	PMCA1-alpha-1-syntrophin-NOS-1 complex	Mouse	Atp2b1-Snta1-Nos1 complex	cardiac muscle cells	G5E829;Q61234;Q9Z0J4	67972;20648;18125	MI:0019- coimmunoprecipitation	GO:0050999	regulation of nitric-oxide synthase activity	None	None	Plasma membrane calcium-transporting ATPase 1 ;Alpha-1-syntrophin;Nitric oxide synthase, brain	Atp2b1;Snta1;Nos1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	;Snt1;None	None	16735509
6241	PMCA4-alpha-1-syntrophin-NOS-1 complex	Mouse	Atp2b4-Snta1-Nos1 complex	cardiac muscle	Q61234;Q6Q477;Q9Z0J4	20648;381290;18125	MI:0019-coimmunoprecipitation	GO:0050999	regulation of nitric-oxide synthase activity	None	None	Alpha-1-syntrophin;Plasma membrane calcium-transporting ATPase 4;Nitric oxide synthase, brain	Snta1;Atp2b4;Nos1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Snt1;None;None	None	16735509
6242	14-3-3q-SGK1-tau complex	Human	YWHAQ-SGK1-MAPT complex	None	O00141;P10636;P27348	6446;4137;10971	MI:0096- pull down	GO:0001932	regulation of protein phosphorylation	None	None	Serine/threonine-protein kinase Sgk1 ;Microtubule-associated protein tau;14-3-3 protein theta	SGK1;MAPT;YWHAQ	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	SGK;MAPTL, MTBT1, TAU;None	None	15650334
6243	AJUBA-GFI1-HDAC2 complex	Human	None	Jurkat T cell nuclear extracts	Q92769;Q96IF1;Q99684	3066;84962;2672	MI:0019-coimmunoprecipitation;MI:0071-molecular sieving	GO:0045892	negative regulation of transcription, DNA-templated	11.02.03.04.03	transcription repression	Histone deacetylase 2;LIM domain-containing protein ajuba;Zinc finger protein Gfi-1	HDAC2;AJUBA;GFI1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The majority of Gfi1 repression activity is dependent upon HDAC function. However, a residual repression activity is present in inhibitor-treated samples suggesting Gfi1 and Ajuba utilize as yet unidentified non-HDAC-dependent repression mechanism(s).	None;JUB;ZNF163	It has been demonstrated that SCN (severe congenital neutropenia)-associated mutations in GFI1 generate dominant-negative-acting proteins (GFI1N382S), which selectively deprepress GFI1 target genes such as CSF1. A SNAG domain mutant protein (Gfi1P2A) also functioned in a dominant negative manner;however, a protein with both mutations (Gfi1P2A\u0002N382S) lacked dominant negative activity.	18805794
6244	AJUBA-GFI1-HDAC3 complex	Human	None	Jurkat T cell nuclear extracts	O15379;Q96IF1;Q99684	8841;84962;2672	MI:0019-coimmunoprecipitation;MI:0071-molecular sieving	GO:0045892	negative regulation of transcription, DNA-templated	11.02.03.04.03	transcription repression	Histone deacetylase 3;LIM domain-containing protein ajuba;Zinc finger protein Gfi-1	HDAC3;AJUBA;GFI1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The majority of Gfi1 repression activity is dependent upon HDAC function. However, a residual repression activity is present in inhibitor-treated samples suggesting Gfi1 and Ajuba utilize as yet unidentified non-HDAC-dependent repression mechanism(s).	None;JUB;ZNF163	It has been demonstrated that SCN (severe congenital neutropenia)-associated mutations in GFI1 generate dominant-negative-acting proteins (GFI1N382S), which selectively deprepress GFI1 target genes such as CSF1. A SNAG domain mutant protein (Gfi1P2A) also functioned in a dominant negative manner;however, a protein with both mutations (Gfi1P2A\u0002N382S) lacked dominant negative activity.	18805794
6245	Telomerase holoenzyme	Human	None	HeLa S3 cells	O14746;O60832;Q86US8;Q9BUR4;Q9NPE3;Q9NX24;Q9NY12	7015;1736;23293;55135;55505;55651;54433	MI:0019- coimmunoprecipitation	GO:0003720;GO:0005697	telomerase activity;telomerase holoenzyme complex	None	None	Telomerase reverse transcriptase ;H/ACA ribonucleoprotein complex subunit 4 ;Telomerase-binding protein EST1A ;Telomerase Cajal body protein 1 ;H/ACA ribonucleoprotein complex subunit 3 ;H/ACA ribonucleoprotein complex subunit 2 ;H/ACA ribonucleoprotein complex subunit 1	TERT;DKC1;SMG6;WRAP53;NOP10;NHP2;GAR1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	.	EST2 TCS1 TRT;NOLA4;C17orf31 EST1A KIAA0732;TCAB1 WDR79;NOLA3;NOLA2;NOLA1	Telomerase is associated with various diseases such as cancer, dyskeratosis congenita, bone marrow failure and idiopathic pulmonary fibrosis	19179534
6246	BBS4 centriolar satellite complex	Human	BBS4-PCM1-CEP131 complex; BBS4-PCM1-AZI1 complex	HEK293T cells	Q15154;Q96RK4;Q9UPN4	5108;585;22994	MI:0029- cosedimentation through density gradients	GO:0005929;GO:0042073	cilium;intraciliary transport	None	None	Pericentriolar material 1 protein;Bardet-Biedl syndrome 4 protein;Centrosomal protein of 131 kDa	PCM1;BBS4;CEP131	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	None;None;AZI1 KIAA1118	Bardet-Biedl syndrome (BBS) is a well-known ciliopathy with mutations reported in 18 different genes. Most of the proteinproducts of the BBS genes localize at or near the primary cilium and the centrosome. Near the centrosome, BBS proteinsinteract with centriolar satellite proteins, and the BBSome (a complex of seven BBS proteins) is believed to play a role intransporting ciliary membrane proteins.	24550735
6247	BBS-chaperonin complex	Human	BBS/CCT complex	HEK293T cells	P17987;P48643;P49368;P50990;P50991;P78371;Q6ZW61;Q8IWZ6;Q8TAM1;Q9NPJ1	6950;22948;7203;10694;10575;10576;166379;55212;79738;8195	MI:0019- coimmunoprecipitation	GO:0005929;GO:0051131;GO:0042073	cilium;chaperone-mediated protein complex assembly;intraciliary transport	None	None	T-complex protein 1 subunit alpha;T-complex protein 1 subunit epsilon;T-complex protein 1 subunit gamma;T-complex protein 1 subunit theta;T-complex protein 1 subunit delta;T-complex protein 1 subunit beta;Bardet-Biedl syndrome 12 protein;Bardet-Biedl syndrome 7 protein;Bardet-Biedl syndrome 10 protein;McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin	TCP1;CCT5;CCT3;CCT8;CCT4;CCT2;BBS12;BBS7;BBS10;MKKS	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	CCT1 CCTA;CCTE KIAA0098;CCTG TRIC5;C21orf112 CCTQ KIAA0002;CCTD SRB;99D8.1 CCTB;C4orf24;BBS2L1;C12orf58;BBS6	Bardet-Biedl syndrome (BBS) is a human genetic disorder resultingin obesity, retinal degeneration, polydactyly, and nephropathy.Recent studies indicate that trafficking defects to the ciliary membraneare involved in this syndrome.	20080638
6248	FBXW7-CSF3R-GSK3B complex	Human	None	HEK 293T cells	P49841;Q969H0;Q99062	2932;55294;1441	MI:0019-coimmunoprecipitation	GO:0031146;GO:0030851;GO:0038158	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process;granulocyte differentiation;granulocyte colony-stimulating factor signaling pathway	43.03.07.02.02	granulocyte	Glycogen synthase kinase-3 beta;F-box/WD repeat-containing protein 7;Granulocyte colony-stimulating factor receptor	GSK3B;FBXW7;CSF3R	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Fbw7 in cooperation with GSK3B negatively modulates G-CSFR protein steady state levels by promoting its degradation and thus regulates granulocytic differentiation.	None;FBW7, FBX30, SEL10;GCSFR	Fbw7 also interacts with and degrades G-CSFR-T718 (a truncated mutant of G-CSFR found in severe congenital neutropenia/acute myeloid leukemia (SCN/AML patients)) though at a quite slower rate compared to G-CSFR.	23820376
6249	MIB complex	Human	Mitochondrial intermembrane space bridging complex	Human osteosarcoma 143B cells	O75431;Q13505;Q16891;Q5TGZ0;Q5XKP0;Q6UXV4;Q9BRQ6;Q9BUR5;Q9NVH1;Q9NX63;Q9Y512	10651;4580;10989;440574;125988;139322;84303;79135;55735;54927;25813	MI:0276- blue native page	GO:0044284;GO:0042407	mitochondrial crista junction;cristae formation	None	None	Metaxin-2 ;Metaxin-1 ;MICOS complex subunit MIC60 ;MICOS complex subunit MIC10 ;MICOS complex subunit MIC13 ;MICOS complex subunit MIC27 ;MICOS complex subunit MIC25 ;MICOS complex subunit MIC26 ;DnaJ homolog subfamily C member 11;MICOS complex subunit MIC19 ;Sorting and assembly machinery component 50 homolog	MTX2;MTX1;IMMT;MINOS1;MIC13;APOOL;CHCHD6;APOO;DNAJC11;CHCHD3;SAMM50	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	;MTX MTXN;HMP MIC60 MINOS2;C1orf151 MIC10;C19orf70 QIL1;CXorf33 FAM121A MIC27;CHCM1 MIC25;FAM121B MIC23 MIC26;;MIC19 MINOS3;SAM50	None	26477565
6250	LPA(2)-NHERF2-PLC-beta3 complex	Human	None	None	Q01970;Q15599;Q9HBW0	5331;9351;9170	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0019216	regulation of lipid metabolic process	01.06.10	regulation of lipid, fatty acid and isoprenoid metabolism	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3;Na(+)/H(+) exchange regulatory cofactor NHE-RF2;Lysophosphatidic acid receptor 2	PLCB3;SLC9A3R2;LPAR2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	None;NHERF2;EDG4, LPA2	None	15143197
6251	Shc-ERalpha-IGF-1R complex	Human	SHC1-ESR1-	MCF-7 cells	P03372;P08069;P29353	2099;3480;6464	MI:0019- coimmunoprecipitation	GO:0043405	regulation of MAP kinase activity	None	None	Estrogen receptor;Insulin-like growth factor 1 receptor;SHC-transforming protein 1	ESR1;IGF1R;SHC1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	ESR, NR3A1;None;SHC SHCA	None	14764897
6252	Rabep1-Ap1g1-Ap1s1 complex	Mouse	None	Fibroblast cells	O35551;P22892;P61967	54189;11765;11769	MI:0019- coimmunoprecipitation;MI:0096- pull down	GO:0055038	recycling endosome membrane	None	None	Rab GTPase-binding effector protein 1;AP-1 complex subunit gamma-1;AP-1 complex subunit sigma-1A	Rabep1;Ap1g1;Ap1s1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Rab5ep Rabpt5 Rabpt5a;Adtg Clapg1;Ap19	None	12773381
6253	myosin-Vb-Rab11-FIP2-Rab11a complex	Human	HeLa cells	None	P62491;Q7L804;Q9ULV0	8766;22841;4645	MI:0096- pull down	GO:0016192	vesicle-mediated transport	20.09.07	vesicular transport (Golgi network, etc.)	Ras-related protein Rab-11A;Rab11 family-interacting protein 2 ;Unconventional myosin-Vb	RAB11A;RAB11FIP2;MYO5B	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	RAB11;KIAA0941;KIAA1119	None	12393859
6254	GPC-4.1R-p55 complex	Human	None	erythrocyte cells	P04921;P11171;Q00013	2995;2035;4354	MI:0107- surface plasmon resonance	None	None	None	None	Glycophorin-C ;Protein 4.1 ;55 kDa erythrocyte membrane protein	GYPC;EPB41;MPP1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	GLPC GPC;E41P;DXS552E EMP55	None	10831591
6255	MICOS complex	Human	Mitochondrial contact site and cristae junction organizing system	Human osteosarcoma 143B cells	Q16891;Q5TGZ0;Q5XKP0;Q6UXV4;Q9BRQ6;Q9BUR5;Q9NX63	10989;440574;125988;139322;84303;79135;54927	MI:0276- blue native page	GO:0061617;GO:0042407	MICOS complex;cristae formation	None	None	MICOS complex subunit MIC60 ;MICOS complex subunit MIC10 ;MICOS complex subunit MIC13 ;MICOS complex subunit MIC27 ;MICOS complex subunit MIC25 ;MICOS complex subunit MIC26 ;MICOS complex subunit MIC19	IMMT;MINOS1;MIC13;APOOL;CHCHD6;APOO;CHCHD3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The mitochondrial contact site and cristae junction (CJ) organizing system (MICOS) dynamically regulate mitochondrial membrane architecture.	HMP MIC60 MINOS2;C1orf151 MIC10;C19orf70 QIL1;CXorf33 FAM121A MIC27;CHCM1 MIC25;FAM121B MIC23 MIC26;MIC19 MINOS3	Several mitochondrial disorders in humans areoften accompanied by alterations of mitochondrial ultrastructure including MERRF syndrome (Myoclonic epilepsy with ragged red fibers), BTHS (Barth syndrome), fatal neonatal lactic acidosis, mtDNA defects and hypertrophic cardiomyopathy and loss of CJs with the formation of concentric stacks of cristae membrane are some of the hallmarks observed in mitochondria from such patients.	26477565
6256	GM-CSF-receptor complex	Human	GM-CSF-CSF2RA-CSF2RB complex	transfection of soluble receptor components in Sf21 cells	P04141;P15509;P32927	1437;1438;1439	MI:0071-molecular sieving	None	None	None	None	Granulocyte-macrophage colony-stimulating factor;Granulocyte-macrophage colony-stimulating factor receptor subunit alpha;Cytokine receptor common subunit beta	CSF2;CSF2RA;CSF2RB	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The used recombinant proteins display the soluble part of the GM-CSF receptor subunits CSF2RA (1-320),CSF2RB (1-438).	GMCSF;CSF2R, CSF2RY;IL3RB, IL5RB	None	12393492
6257	ANKS6-NEK8-INVS-NPHP3 complex	Human	NPHP16-NPHP9-NPHP2-NPHP3 complex	HEK-293T cells	Q68DC2;Q7Z494;Q86SG6;Q9Y283	203286;27031;284086;27130	MI:0019-coimmunoprecipitation	GO:0005929;GO:0001822	cilium;kidney development	47.03.07.01	kidney	Ankyrin repeat and SAM domain-containing protein 6;Nephrocystin-3;Serine/threonine-protein kinase Nek8;Inversin	ANKS6;NPHP3;NEK8;INVS	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	ANKRD14 PKDR1 SAMD6;KIAA2000;JCK, NEK12A, NPHP9;INV NPHP2	Nephronophthisis is the most frequent genetic cause of renal failure in children, presenting  with cystic kidney disease combined with extrarenal manifestations, such as retinitis pigmentosa (Senior-L\u00f8ken syndrome), liver fibrosis, cerebellar vermis hypoplasia (Joubert syndrome), situs inversus or cardiac malformations. Because most NPHP gene products  localize to the cilium or its associated structures, nephronophthisis and related syndromes, such as Joubert syndrome and Meckel-Gruber syndrome (MKS), have been termed ciliopathies.	23793029
